benchmark	first_line	total	correct	wrong_label	parse_fail	multiline	n_cells	pred	match_via
xnli	entailment	98649	35152	63497	0	31510	32	entailment	exact
xnli	contradiction	17426	8310	9116	0	368	18	contradiction	exact
xnli	Contradiction	8670	3705	4965	0	4846	15	contradiction	exact
xnli	Neutral	5045	1487	3558	0	8	16	neutral	exact
xnli	Contradicción	4690	2036	2654	0	0	6	contradiction	native_exact
xnli	neutral	3685	1014	2671	0	271	28	neutral	exact
xnli		3170	0	0	3170	0	14		none
xnli	Contradicción.	1979	985	994	0	0	7	contradiction	native_substring
xnli	假设	1564	0	0	1564	2	5		none
xnli	假设。	1537	0	0	1537	0	4		none
xnli	假设是前提的直接结果。	1476	0	0	1476	0	4		none
xnli	矛盾	1040	472	568	0	91	8	contradiction	native_exact
xnli	假设是前提的。	1016	0	0	1016	0	4		none
xnli	假设是前提的否定。	624	0	0	624	0	4		none
xnli	假设是前提的推论。	549	0	0	549	0	3		none
xnli	entailment.	494	157	337	0	0	16	entailment	english_substring
xnli	Entailment.	461	261	200	0	0	6	entailment	english_substring
xnli	premise اور hypothesis کے درمیان کوئی تعلق نہیں ہے۔	384	0	0	384	0	4		none
xnli	Hypothesis	362	0	0	362	298	6		none
xnli	Premise اور Hypothesis کے درمیان کوئی تعلق نہیں	356	0	0	356	0	4		none
xnli	Neutral.	342	84	258	0	0	9	neutral	english_substring
xnli	Contradiction.	323	155	168	0	0	12	contradiction	english_substring
xnli	假设entails前提。	297	0	0	297	0	3		none
xnli	Premise اور Hypothesis کے درمیان کوئی واضح تعلق	229	0	0	229	0	4		none
xnli	假设是entailment。	212	0	0	212	0	4		none
xnli	假设是entailment，因为它直接从	193	0	0	193	0	3		none
xnli	premise اور hypothesis کے درمیان کوئی واضح تعلق نہیں ہے	178	0	0	178	0	4		none
xnli	1. 2. 3.	159	0	0	159	0	1		none
xnli	Entailment	153	81	72	0	38	15	entailment	exact
xnli	假设是前提的等同。	133	0	0	133	0	3		none
xnli	假设是前提的等同关系。	132	0	0	132	0	3		none
xnli	假设是前提的自然结果。	128	0	0	128	0	4		none
xnli	假设entails前提，因为假设是前提的	103	0	0	103	0	3		none
xnli	假设是前提的等同物。	83	0	0	83	0	2		none
xnli	假设entailment。	81	0	0	81	0	2		none
xnli	假设是前提的。假设是前提的	76	0	0	76	0	2		none
xnli	假设是前提的假设。	69	0	0	69	0	3		none
xnli	假设是前提的等价形式。	62	0	0	62	0	3		none
xnli	假设和前提之间没有关系。假设是	58	0	0	58	0	4		none
xnli	前提和假设之间没有明显的关系。	55	0	0	55	0	3		none
xnli	假设是entailment。假设是前提	54	0	0	54	0	4		none
xnli	假设是entailment。entailment	46	11	35	0	0	3	entailment	english_substring
xnli	假设是前提的延伸或结果。	42	0	0	42	0	3		none
xnli	假设和前提之间没有关系。	34	0	0	34	0	4		none
xnli	假设是entailment，因为它基于前提	31	0	0	31	0	2		none
xnli	假设和前提之间没有entailment或	29	0	0	29	0	2		none
xnli	entailment. La hipótesis se sigue de	27	6	21	0	0	3	entailment	english_substring
xnli	假设和前提之间存在entailment。	27	0	0	27	0	3		none
xnli	contradiction.	23	18	5	0	0	4	contradiction	english_substring
xnli	1. 1. 1.	23	0	0	23	0	2		none
xnli	假设是前提的逻辑结果。	22	0	0	22	0	3		none
xnli	假设是前提的直接结果，因为假设是	22	0	0	22	0	3		none
xnli	前提和假设之间没有关系。	22	0	0	22	0	3		none
xnli	假设和前提之间没有明显的关系。假设	22	0	0	22	0	3		none
xnli	假设是entailment，因为它从前提	20	0	0	20	0	3		none
xnli	假设entails前提，因为它扩展了前提	20	0	0	20	0	3		none
xnli	假设和前提之间没有明显的关系。	20	0	0	20	0	2		none
xnli	前提和假设之间没有entailment、	19	0	0	19	0	3		none
xnli	假设是前提的假设。假设是前提	19	0	0	19	0	2		none
xnli	假设是正确的。	19	0	0	19	0	3		none
xnli	假设 entailment	18	7	11	0	0	2	entailment	english_substring
xnli	假设是前提的entailment。	18	0	0	18	0	1		none
xnli	假设entailment	16	0	0	16	0	3		none
xnli	假设是entailment，因为它直接导致	16	0	0	16	0	3		none
xnli	假设是前提的自然延伸，强调了	16	0	0	16	0	3		none
xnli	假设和前提之间没有entailment、	16	0	0	16	0	2		none
xnli	Contradictory	16	0	0	16	8	2		none
xnli	假设是entailment，因为它可以从	15	0	0	15	0	3		none
xnli	اس کے لیے کوئی جواب نہیں ہے۔	15	0	0	15	0	3		none
xnli	假设是前提的直接结果。假设是	14	0	0	14	0	3		none
xnli	premise اور hypothesis کے درمیان کوئی واضح فرق نہیں ہے	13	0	0	13	0	2		none
xnli	假设 entailment.	13	3	10	0	0	1	entailment	english_substring
xnli	假设是entailment，因为它意味着前提	12	0	0	12	0	2		none
xnli	假设是正确的，因为它与前提相矛盾	12	6	6	0	0	4	contradiction	native_substring
xnli	premise اور hypothesis کا موازنہ کریں۔	12	0	0	12	7	2		none
xnli	假设是前提的自然延伸。	12	0	0	12	0	1		none
xnli	假设entails 前提，因为假设是前提	12	0	0	12	0	2		none
xnli	Con	12	0	0	12	0	1		none
xnli	假设是前提的等同关系，因为它	11	0	0	11	0	2		none
xnli	假设是前提的矛盾。	11	8	3	0	0	3	contradiction	native_substring
xnli	假设是前提的必要条件。	11	0	0	11	0	3		none
xnli	假设entails 前提。	11	0	0	11	0	2		none
xnli	假设entails前提，因为它提供了一个关于	10	0	0	10	0	2		none
xnli	假设是前提的否定。假设否定了	10	0	0	10	0	3		none
xnli	یہ ایک پیش گوئی ہے.	10	0	0	10	0	1		none
xnli	Entailment. The hypothesis is entailed by	9	3	6	0	0	2	entailment	english_substring
xnli	假设是前提的等价物。	9	0	0	9	0	3		none
xnli	假设和前提之间存在entailment关系	9	0	0	9	0	2		none
xnli	前提和假设之间没有entailment或	9	0	0	9	0	2		none
xnli	假设与前提之间存在entailment。	9	0	0	9	0	2		none
xnli	لازم	8	0	0	8	8	3		none
xnli	假设和前提是等同的，因为它们	8	0	0	8	0	3		none
xnli	假设是前提的推论。假设是	8	0	0	8	0	3		none
xnli	假设是前提的矛盾，因为假设否定了	8	7	1	0	0	1	contradiction	native_substring
xnli	منسلک	7	0	0	7	3	3		none
xnli	前提和假设是两个不同的概念。前提	7	0	0	7	0	2		none
xnli	neutral.	7	2	5	0	0	3	neutral	english_substring
xnli	یہ دونوں الفاظ ایک دوسرے سے منسلک	7	0	0	7	0	3		none
xnli	پیش فرض اور ہپوٹھیسیس	7	0	0	7	0	3		none
xnli	غلط	7	0	0	7	7	2		none
xnli	لازمی	6	2	4	0	3	2	entailment	native_exact
xnli	假设是前提的扩展或补充。假设	6	0	0	6	0	3		none
xnli	。。。	6	0	0	6	0	3		none
xnli	相反	6	0	0	6	0	2		none
xnli	假设是前提的自然延伸，假设是	6	0	0	6	0	3		none
xnli	假设entailment。假设是前提的	6	0	0	6	0	2		none
xnli	假设entails前提，因为假设是基于前提	6	0	0	6	0	1		none
xnli	假设entails前提，因为它包含了前提	6	0	0	6	0	2		none
xnli	假设entails前提，因为它提供了一个可能	6	0	0	6	0	1		none
xnli	假设是前提的延伸或结果。假设	6	0	0	6	0	2		none
xnli	تو، وہ پسند ہے، ٹھیک ہے،	6	0	0	6	0	2		none
xnli	یہ پیش گوئی ہے۔	6	0	0	6	0	1		none
xnli	ہم تمام گریجویٹز سے 1	6	0	0	6	0	2		none
xnli	لازمی سی بات ہے کہ اس بلند مقصد	6	2	4	0	0	2	entailment	native_substring
xnli	ہم جنس پرستی کی ایک تصویر کے طور	6	0	0	6	0	2		none
xnli	پریمیز اور ہپوٹھیس	6	0	0	6	0	1		none
xnli	1	5	0	0	5	1	3		none
xnli	假设entails前提，因为它提供了一个与	5	0	0	5	0	2		none
xnli	假设与前提之间存在矛盾。	5	5	0	0	0	2	contradiction	native_substring
xnli	假设是前提的解释或扩展。	5	0	0	5	0	3		none
xnli	premise اور hypothesis کے درمیان کوئی واضح موازنہ	5	0	0	5	0	2		none
xnli	فرضی	5	0	0	5	5	2		none
xnli	喜欢	5	0	0	5	0	2		none
xnli	假设是前提的延伸或扩展。假设	5	0	0	5	0	1		none
xnli	假设entails前提，因为它从前提中	5	0	0	5	0	1		none
xnli	假设entails前提，因为它可以从前提	5	0	0	5	0	1		none
xnli	假设和前提之间的关系是entailment	5	0	0	5	0	3		none
xnli	假设 entailment。	5	0	5	0	0	2	entailment	english_substring
xnli	假设是正确的，因为它与前提相一致	5	0	0	5	0	1		none
xnli	تو، تو، تو، تو، تو،	5	0	0	5	0	2		none
xnli	2	5	0	0	5	0	1		none
