condition	seed	template	benchmark	data_lang	instr_lang	extractor	gold	n_gold	pred_entailment	pred_neutral	pred_contradiction	pred_none	acc_on_gold	via_tier1a_english	via_tier1b_native	via_tier2_glued	via_tier3_paraphrase	tier2_pred_entailment	tier2_cjk_frame
baseline	none	1	xnli	en	en	refined	entailment	1670	1463	91	111	5	0.8760	1665	0	0	0	0	0
baseline	none	1	xnli	en	en	refined	contradiction	1670	477	245	947	1	0.5671	1669	0	0	0	0	0
baseline	none	1	xnli	en	en	refined	neutral	1670	1305	94	270	1	0.0563	1669	0	0	0	0	0
baseline	none	1	xnli	en	es	refined	entailment	1670	1657	2	11	0	0.9922	1670	0	0	0	0	0
baseline	none	1	xnli	en	es	refined	contradiction	1670	1285	47	337	1	0.2018	1668	1	0	0	0	0
baseline	none	1	xnli	en	es	refined	neutral	1670	1641	0	29	0	0.0000	1670	0	0	0	0	0
baseline	none	1	xnli	en	ur	refined	entailment	1670	1637	6	26	1	0.9802	1668	0	0	1	0	0
baseline	none	1	xnli	en	ur	refined	contradiction	1670	1377	18	274	1	0.1641	1669	0	0	0	0	0
baseline	none	1	xnli	en	ur	refined	neutral	1670	1650	1	17	2	0.0006	1667	1	0	0	0	0
baseline	none	1	xnli	en	zh	refined	entailment	1670	1668	2	0	0	0.9988	1670	0	0	0	0	0
baseline	none	1	xnli	en	zh	refined	contradiction	1670	1659	9	2	0	0.0012	1670	0	0	0	0	0
baseline	none	1	xnli	en	zh	refined	neutral	1670	1670	0	0	0	0.0000	1670	0	0	0	0	0
baseline	none	1	xnli	es	en	refined	entailment	1670	1441	155	73	1	0.8629	1669	0	0	0	0	0
baseline	none	1	xnli	es	en	refined	contradiction	1670	617	377	675	1	0.4042	1669	0	0	0	0	0
baseline	none	1	xnli	es	en	refined	neutral	1670	1365	151	153	1	0.0904	1669	0	0	0	0	0
baseline	none	1	xnli	es	es	refined	entailment	1670	1526	4	140	0	0.9138	1530	140	0	0	0	0
baseline	none	1	xnli	es	es	refined	contradiction	1670	906	13	751	0	0.4497	919	751	0	0	0	0
baseline	none	1	xnli	es	es	refined	neutral	1670	1449	1	219	1	0.0006	1450	219	0	0	0	0
baseline	none	1	xnli	es	ur	refined	entailment	1670	1653	0	14	3	0.9898	1666	1	0	0	0	0
baseline	none	1	xnli	es	ur	refined	contradiction	1670	1592	10	67	1	0.0401	1669	0	0	0	0	0
