condition	seed	template	benchmark	data_lang	instr_lang	extractor	gold_category	n_gold	correct	acc_on_gold	pred_science_technology	pred_travel	pred_politics	pred_sports	pred_health	pred_entertainment	pred_geography	pred_none
baseline	none	1	sib200	en	en	refined	science/technology	51	51	1.0000	51	0	0	0	0	0	0	0
baseline	none	1	sib200	en	en	refined	travel	40	27	0.6750	8	27	0	1	2	0	2	0
baseline	none	1	sib200	en	en	refined	politics	30	23	0.7667	6	0	23	0	0	0	1	0
baseline	none	1	sib200	en	en	refined	sports	25	19	0.7600	1	1	0	19	3	1	0	0
baseline	none	1	sib200	en	en	refined	health	22	12	0.5455	9	0	0	1	12	0	0	0
baseline	none	1	sib200	en	en	refined	entertainment	19	13	0.6842	5	1	0	0	0	13	0	0
baseline	none	1	sib200	en	en	refined	geography	17	9	0.5294	8	0	0	0	0	0	9	0
baseline	none	1	sib200	en	es	refined	science/technology	51	51	1.0000	51	0	0	0	0	0	0	0
baseline	none	1	sib200	en	es	refined	travel	40	26	0.6500	12	26	1	0	1	0	0	0
baseline	none	1	sib200	en	es	refined	politics	30	27	0.9000	3	0	27	0	0	0	0	0
baseline	none	1	sib200	en	es	refined	sports	25	14	0.5600	6	1	1	14	2	1	0	0
baseline	none	1	sib200	en	es	refined	health	22	4	0.1818	16	0	1	1	4	0	0	0
baseline	none	1	sib200	en	es	refined	entertainment	19	12	0.6316	7	0	0	0	0	12	0	0
baseline	none	1	sib200	en	es	refined	geography	17	1	0.0588	15	1	0	0	0	0	1	0
baseline	none	1	sib200	en	ur	refined	science/technology	51	50	0.9804	50	1	0	0	0	0	0	0
baseline	none	1	sib200	en	ur	refined	travel	40	13	0.3250	9	13	7	0	0	5	1	5
baseline	none	1	sib200	en	ur	refined	politics	30	30	1.0000	0	0	30	0	0	0	0	0
baseline	none	1	sib200	en	ur	refined	sports	25	1	0.0400	4	1	6	1	0	0	0	13
baseline	none	1	sib200	en	ur	refined	health	22	3	0.1364	11	0	7	1	3	0	0	0
baseline	none	1	sib200	en	ur	refined	entertainment	19	1	0.0526	10	0	7	0	0	1	0	1
baseline	none	1	sib200	en	ur	refined	geography	17	3	0.1765	13	0	0	0	0	1	3	0
baseline	none	1	sib200	en	zh	refined	science/technology	51	50	0.9804	50	1	0	0	0	0	0	0
baseline	none	1	sib200	en	zh	refined	travel	40	32	0.8000	7	32	1	0	0	0	0	0
baseline	none	1	sib200	en	zh	refined	politics	30	27	0.9000	3	0	27	0	0	0	0	0
baseline	none	1	sib200	en	zh	refined	sports	25	20	0.8000	0	2	0	20	2	1	0	0
baseline	none	1	sib200	en	zh	refined	health	22	6	0.2727	14	0	1	1	6	0	0	0
baseline	none	1	sib200	en	zh	refined	entertainment	19	9	0.4737	8	2	0	0	0	9	0	0
baseline	none	1	sib200	en	zh	refined	geography	17	2	0.1176	11	4	0	0	0	0	2	0
baseline	none	1	sib200	es	en	refined	science/technology	51	48	0.9412	48	1	0	0	0	1	0	1
baseline	none	1	sib200	es	en	refined	travel	40	29	0.7250	10	29	0	0	1	0	0	0
baseline	none	1	sib200	es	en	refined	politics	30	26	0.8667	2	1	26	0	0	0	1	0
baseline	none	1	sib200	es	en	refined	sports	25	20	0.8000	1	0	0	20	3	0	1	0
baseline	none	1	sib200	es	en	refined	health	22	14	0.6364	6	0	1	1	14	0	0	0
baseline	none	1	sib200	es	en	refined	entertainment	19	14	0.7368	4	0	0	0	0	14	1	0
baseline	none	1	sib200	es	en	refined	geography	17	7	0.4118	9	1	0	0	0	0	7	0
baseline	none	1	sib200	es	es	refined	science/technology	51	51	1.0000	51	0	0	0	0	0	0	0
baseline	none	1	sib200	es	es	refined	travel	40	23	0.5750	13	23	3	0	1	0	0	0
